"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"10-XX";"B3F-10XX";"RESET";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"1";"";"DIODE-MINIMELF";"MINIMELF";"D4";"DIODE";"";"";"";"";"";"";
"1";"";"LED5MM";"LED5MM";"LED1";"LED";"";"";"";"";"";"";
"1";"";"MA03-1";"MA03-1";"UART";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"MA03-2";"MA03-2";"ICSP";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"MA07-1";"MA07-1";"KEYPAD";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"MA08-1";"MA08-1";"LCD";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"2";"";"W237-102";"W237-102";"X1, X2";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";
"2";"0R";"R-EU_R0805";"R0805";"R3, R5";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1000uF";"CPOL-EUTT5D10";"TT5D10";"C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"6";"100nF";"C-EUC0805";"C0805";"C1, C2, C3, C8, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"100uF";"CPOL-EUTAP5-80";"TAP5-80";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"100uH";"L-USTJ3-U1";"TJ3-U1";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";
"3";"10k";"R-EU_R0805";"R0805";"R1, R10, R11";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"10uF";"CPOL-EUC";"PANASONIC_C";"C9, C10";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"15pF";"C-EUC0805";"C0805";"C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"1M";"R-EU_R0805";"R0805";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"1N582X";"1N582X";"DIODE5MM";"D1";"";"";"";"";"";"";"";
"1";"20 MHz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"1667008";"unknown";"";"";
"4";"330R";"R-EU_R0805";"R0805";"R4, R9, R12, R13";"RESISTOR, European symbol";"";"";"";"";"";"";
"3";"4.7k";"R-EU_R0805";"R0805";"R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"4050D";"4050D";"SO16";"IC1";"Hex non-inverting BUFFER";"";"";"";"";"";"";
"1";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIP254P762X457-28";"U1";"8-bit Microcontroller with In-System Programmable Flash";"";"ATMEGA328P-PU";"1715487";"15R0268";"PDIP-28";"Atmel";
"1";"HT7533";"LE33CZ";"TO-92";"U3";"";"";"";"";"";"";"";
"2";"IRFZ24N";"IRFZ24N";"TO220AB";"T1, T2";"";"";"";"";"";"";"";
"1";"LM2576T";"LM2576T";"TO220-5";"U2";"";"";"";"";"";"";"";
"1";"LM75";"LM75";"SOIC8";"U4";"";"";"";"";"";"";"";
"1";"MOUNT-PAD-ROUND3.6";"MOUNT-PAD-ROUND3.6";"3,6-PAD";"H1";"MOUNTING PAD, round";"";"";"";"";"";"";
"2";"SS210";"DIODE-SMB";"SMB";"D2, D3";"DIODE";"";"";"";"";"";"";
